actor,avg_movie_rating,avg_votes_per_movie,total_movies,rating_std_dev,high_rated_movie_count,career_span,recent_avg_rating,is_rating_std_dev_missing,is_recent_avg_rating_missing
nm0382995,6.157575766245524,909.4848484848484,36,0.5579147989319009,0,58,6.157575766245524,0,1
nm0110714,6.506249994039536,731.1875,18,0.8346406336644714,1,37,6.506249994039536,0,1
nm0822842,5.816666642824809,7320.916666666667,14,0.9350093107759924,0,15,5.816666642824809,0,1
nm0018664,5.090909112583507,86.0909090909091,16,1.1202272571023526,0,9,5.090909112583507,0,1
nm0094083,7.018750011920929,1122.8125,32,0.8734202851091595,4,41,7.018750011920929,0,1
nm0691959,5.880000019073487,98.6,12,0.5006661643996544,0,8,5.880000019073487,0,1
nm0001805,6.1612244917421926,2702.714285714286,49,0.8220442663594323,0,43,6.1612244917421926,0,1
nm0446669,5.2799999713897705,104.6,5,1.291123501470523,0,10,5.2799999713897705,0,1
nm0307404,6.240000027418136,136.925,59,1.0262703339184909,0,19,6.240000027418136,0,1
nm0776453,7.3500001430511475,54.0,3,0.0707106106836971,0,28,7.3500001430511475,0,1
nm0168695,5.775000095367432,87.5,4,0.780491261607854,0,70,5.775000095367432,0,1
nm0842985,5.483333269755046,1064.1666666666667,7,1.002829380862163,0,7,5.483333269755046,0,1
nm0191745,6.21639341213664,1596.9180327868853,73,0.7709691668256827,1,49,6.21639341213664,0,1
nm0267551,6.642857108797346,457.07142857142856,23,1.13049628443386,1,35,6.642857108797346,0,1
nm0590055,6.481609185536702,6604.597701149425,91,0.7224841817042468,1,65,6.481609185536702,0,1
nm0458378,5.779999923706055,15780.4,5,0.983361618367972,0,25,5.779999923706055,0,1
nm0056687,5.715384630056528,40.69230769230769,17,1.3915496134353462,1,27,5.715384630056528,0,1
nm0810761,5.292499971389771,363.95,41,1.0341322262206292,1,14,5.292499971389771,0,1
nm0022025,6.6499998569488525,44.25,6,1.11205512306295,0,26,6.6499998569488525,0,1
nm0408573,5.246902664150812,119.09734513274336,129,0.7400616463839914,1,33,5.246902664150812,0,1
nm0177320,5.680952378681728,1054.0,22,1.021576706109691,0,31,5.680952378681728,0,1
nm0042315,6.033333460489909,704.0,3,0.8082903336037242,0,3,6.033333460489909,0,1
nm0658851,5.528571442195347,133.5142857142857,41,0.93700756419886,0,39,5.528571442195347,0,1
nm0786311,4.459999990463257,60.6,5,0.5941379821437919,0,6,4.459999990463257,0,1
