tconst,director_id,director_score
tt10059254,nm3885159,7.574380670811923
tt10059254,nm0754653,7.665989059046673
tt10059508,nm3051578,8.998474662776314
tt10059518,nm0097517,6.00038169698409
tt10060772,nm0701269,8.498792501810943
tt10061452,nm0951991,5.900445121830804
tt10061464,nm10562627,3.302097980117684
tt10062338,nm0352968,5.600636111172007
tt10062556,nm10564978,4.101589390008873
tt10062614,nm1398739,5.400763199132454
tt10062628,nm4462060,5.550667704461852
tt10062634,nm9776172,5.600635872904985
tt10063580,nm3705090,5.260852136878065
tt10063934,nm2212798,4.268150189753004
tt10064134,nm1065111,4.201525726895138
tt10065694,nm4680113,5.80050902321156
tt10065694,nm7896794,5.80050902321156
tt10065936,nm2538949,8.698665175583475
tt10066262,nm1811978,7.399491842993937
tt10066432,nm5262488,4.3014625403154465
tt10066750,nm3709548,4.151557796719027
tt10066750,nm7473882,5.400763199132454
tt10066808,nm3438179,7.299555506107671
tt10068716,nm9744450,7.0996823558010975
tt10068916,nm0463628,7.999110340845573
tt10069166,nm10274640,3.901716716236342
tt10071550,nm5731750,1.503242248295754
tt10071594,nm10568981,7.499428179880202
tt10071606,nm10568992,7.299555506107671
tt10072662,nm0144812,5.600635872904985
tt10073452,nm3813028,6.9997460189148315
tt10073452,nm3788723,6.9997460189148315
tt10073640,nm10569971,8.298919828038413
tt10073640,nm10569972,8.298919828038413
tt10075380,nm5694753,5.667260097495829
tt10075380,nm5694564,6.0803308617999114
tt10075442,nm7398558,6.7998733451423
tt10075650,nm9816747,4.801144701280818
tt10077034,nm1966532,4.634583663269666
tt10077090,nm10560071,5.400763199132454
tt10077544,nm0093081,6.866497410888463
tt10078206,nm4341114,3.2641911121987834
tt10078206,nm8099914,3.2521299010246842
tt10078206,nm3153264,1.4033057922759777
tt10078772,nm0000154,5.20089004882588
tt10078886,nm4269006,5.600635872904985
tt10078904,nm4341114,3.2641911121987834
tt10079028,nm4341114,3.2641911121987834
tt10079448,nm5323837,7.499428179880202
tt10079652,nm0335835,4.001653053122608
tt10080086,nm0508441,4.5013352140879785
tt10080092,nm9619798,5.567323760609563
tt10080110,nm1615332,3.601907229043502
tt10080130,nm7148363,3.851748428659698
tt10080198,nm7383367,8.498792501810943
tt10080926,nm10568164,8.398855688390636
tt10081762,nm1893652,5.400762960865433
tt10081788,nm3803118,5.100953711939614
tt10083174,nm2134362,4.3014625403154465
tt10083340,nm0080220,7.799237667073042
tt10083640,nm4415009,6.250222777466775
tt10087728,nm4015380,4.801144701280818
tt10087728,nm13017169,4.801144701280818
tt10088984,nm0141127,6.899809682028566
tt10090058,nm2538739,6.664245118986623
tt10090058,nm14051140,5.300826862246189
tt10091272,nm3225840,1.8030514972215723
