director_id,director_experience,director_quality,director_total_votes
nm1475358,1,6.5,2065
nm11533307,2,5.900000095367432,109
nm8721336,1,7.599999904632568,13
nm3554142,2,7.200000047683716,101
nm3504356,9,5.255555576748318,2033
nm11550832,2,5.5,152
nm7066470,1,6.199999809265137,9
nm11552009,1,7.199999809265137,75
nm10690828,2,4.25,78
nm11173109,1,7.800000190734863,6
nm11534758,4,7.049999833106995,73
nm1377201,1,7.199999809265137,7
nm9489251,1,6.400000095367432,1631
nm1046377,2,4.350000023841858,223
nm5464057,1,6.800000190734863,210
nm3973908,7,3.271428550992693,4005
nm3163495,2,4.5,7033
nm5256606,2,5.1000001430511475,142
nm0993644,2,5.299999952316284,1873
nm3326625,1,6.599999904632568,42
nm0323937,1,6.199999809265137,51
nm6458915,4,7.4999998807907104,3728
nm6886057,1,5.5,14
nm2542821,2,7.150000095367432,137
nm3821269,1,5.400000095367432,18
nm4942900,1,9.0,5
nm11590111,1,5.5,697
nm8310136,1,5.199999809265137,25
nm4002430,2,6.449999809265137,106
nm3765326,1,8.199999809265137,11
nm0458185,2,6.200000047683716,149
nm9105073,1,7.800000190734863,10
nm4150649,4,6.325000047683716,68
nm11595313,1,8.0,7
nm12112547,4,5.25,97
nm2977843,1,6.0,28
nm2001417,1,6.5,15
nm2164452,1,5.900000095367432,2042
nm0444857,1,2.299999952316284,681
nm1116645,1,7.900000095367432,488
nm9853997,3,5.800000031789144,53
nm2782297,2,6.1000001430511475,170
nm4911735,2,6.200000047683716,508
nm0474233,1,6.699999809265137,18
nm1488974,1,6.5,91
nm5267302,5,7.059999942779541,1415
nm6475073,1,7.199999809265137,2842
nm11613519,1,3.700000047683716,49
nm5788122,1,7.5,47
nm7373492,1,6.800000190734863,47
nm7889854,2,6.599999904632568,49
nm1733778,3,6.6333333651224775,347864
nm8183746,1,6.0,82
nm3164065,1,3.299999952316284,444
nm4308200,1,8.399999618530273,15
nm0158305,1,5.099999904632568,93
nm3481997,1,5.400000095367432,7
nm2014132,1,7.099999904632568,1496
nm10472381,1,4.199999809265137,8
nm0039029,1,7.099999904632568,423
nm4479660,5,8.580000114440917,122
nm1990728,1,7.400000095367432,98
nm5801615,1,5.699999809265137,110
nm3419080,2,4.199999809265137,401
nm4127252,2,6.650000095367432,338
nm11656845,1,3.700000047683716,51
nm6504197,2,6.950000047683716,77
nm0258732,2,6.25,1715
nm8268725,1,6.199999809265137,62
nm2588135,1,6.300000190734863,2765
nm10230002,4,5.600000023841858,106
nm11681096,1,5.099999904632568,207
nm1151972,1,4.599999904632568,1057
nm3661014,2,5.25,11013
