tconst,primaryTitle,startYear,averageRating,numVotes,genre_score,movie_writer_quality,movie_actor_score,budget,director_quality,top_3_actor_scores
tt32126588,Lop Nor Tomb,2023,6.5,56,5.728918355660729,5.0,6.799344985087221,52848120.90347222,6.5,12666.666666666666
tt23037638,There Is a Monster,2024,3.8,169,5.601605715734657,3.799999952316284,4.094826045052715,22453926.77622205,3.799999952316284,270.3333333333333
tt4772204,The Unsettling,2022,4.5,116,5.672433259298636,4.5,4.856678611073308,21000554.77543484,4.5,671.0
tt14555212,Eat the Rich,2023,5.7,60,4.975293835433215,4.699999928474426,5.798955032399017,16298415.350626118,5.699999809265137,154.0
tt32155770,Burning Butterflies,2024,8.5,74,5.466973934449058,8.5,8.357431063517144,23055563.78803984,8.5,19333.333333333332
tt30787657,Carole & Grey,2024,7.4,16,5.885894239644082,7.400000095367432,7.221583940179659,28289376.5727412,7.400000095367432,12314.333333333334
tt29930759,Screw Mickiewicz,2024,4.8,804,6.222950643159742,4.800000190734863,6.818552406243319,22449168.97011252,4.800000031789144,5346.333333333333
tt13217556,Number 1,2020,6.7,288,6.054422441401912,5.583333174387613,6.724918353375276,25369272.771426857,5.966666539510091,19333.333333333332
tt10283270,Detective vs. Sleuths,2022,6.2,1610,5.840529489441369,6.183333158493042,6.547365512031284,34091377.73593761,6.199999809265137,6152.666666666667
tt11314148,Shiddat,2021,7.6,25311,6.084321177424017,6.547222150696648,7.982421300503002,20969162.450643778,7.599999904632568,506.3333333333333
tt12077076,Sententia,2020,5.8,44,6.222950643159742,5.800000190734863,6.58423909095534,22449168.97011252,5.800000190734863,5133.0
tt31969078,Lipstick,2024,6.4,28,5.934379375043728,5.7533333937327065,6.157745876926129,25411765.758938257,5.53333338101705,24333.333333333332
tt26258134,Tilam Perca,2022,7.7,10,6.203095434705503,7.699999809265137,8.157792706792256,35159466.00376374,7.699999809265137,6880.333333333333
tt11204380,Kharts,2021,4.7,8,5.606572668611012,4.699999809265137,5.618458948035032,28614196.00792752,4.699999809265137,4217.333333333333
