tconst,cast_avg_movie_rating,cast_avg_votes_per_movie,cast_avg_total_movies,cast_avg_rating_std_dev,cast_avg_high_rated_movie_count,cast_avg_career_span,cast_avg_recent_avg_rating,movie_rating
tt10376384,6.277391427292262,3577.7564745196323,13.5,0.8642409249668503,0.16666666666666666,16.5,6.1277778479788045,5.8
tt29381712,5.259583346048991,6393.1625,7.25,0.988733985958667,0.0,8.75,4.788333384195964,4.5
tt20224668,5.522957177579975,1062.4757051192535,21.142857142857142,0.9598306676049206,0.0,20.714285714285715,5.476587290801699,5.1
tt15502664,5.466481467529579,2518.2564814814814,9.166666666666666,0.8279040761874068,0.0,16.5,5.320138782262802,5.2
tt19393076,5.384229589019503,27819.021156462582,24.714285714285715,1.1932098675489977,0.5714285714285714,22.0,5.493979657074761,6.8
tt19894546,4.846353189467716,391.4252967853808,15.857142857142858,1.1028821841586514,0.0,14.428571428571429,4.918333298819405,4.6
tt21059394,6.317589832705328,1686.679813218391,73.75,1.3265292445115875,3.25,19.75,6.897321458373751,7.0
tt21045564,5.59296469784648,16997.26703595724,21.428571428571427,0.9764787941907065,0.2857142857142857,19.428571428571427,5.429761958500696,4.9
tt7026488,6.225416655672921,7995.777777777778,8.5,1.261384319225073,0.5,10.0,5.7374999761581424,6.0
tt11482894,5.973567594942996,50048.11522633745,33.333333333333336,0.8127096589797501,0.6666666666666666,24.333333333333332,5.672619041942415,5.4
tt31022050,5.6134724570264325,24956.396753246754,10.714285714285714,0.8150673793970046,0.0,16.0,5.502857039088295,5.7
tt17220042,6.162777809302011,9249.472222222223,10.666666666666666,0.743241329209722,0.0,37.0,6.366666714350383,6.5
tt2231874,5.910699839258277,75442.34647421722,26.571428571428573,0.8563420676107206,0.14285714285714285,21.142857142857142,5.491462596014244,5.4
tt22309314,5.834262281078494,1139.8604216795889,63.714285714285715,1.6171876389957873,3.142857142857143,10.857142857142858,5.956318810386368,8.2
tt9742628,6.540740655528174,2598.1018518518517,6.333333333333333,1.7224198551193703,1.1666666666666667,9.666666666666666,7.318650656276279,8.9
tt33256407,5.475577595113593,2252.6854807473233,51.57142857142857,1.3196623374309426,1.4285714285714286,27.571428571428573,5.638195142651972,7.3
tt27918995,5.851423858276099,7144.677482119329,18.142857142857142,1.383029871730599,1.8571428571428572,31.571428571428573,6.762448897167128,8.4
tt33355095,5.933974590515163,1420.879765795207,18.833333333333332,0.8848445751101325,0.16666666666666666,27.0,5.872002888492673,6.6
tt26450742,5.573419077040758,14999.41600586744,28.666666666666668,1.116966019349398,0.16666666666666666,18.833333333333332,5.145656331691867,4.3
tt26731175,5.050000005298191,30.333333333333332,13.666666666666666,1.9564603296426002,0.3333333333333333,2.6666666666666665,5.050000005298191,5.5
tt27201085,5.070779665934984,149.87360020931447,7.571428571428571,1.511795585486203,0.42857142857142855,13.142857142857142,4.920238043580737,3.3
tt31455374,6.0557565069439825,1113.8910881692743,69.5,1.5807290867318577,5.5,16.333333333333332,6.604226193336582,8.6
tt11540272,6.103181772882288,7970.371212121212,11.0,0.9002527003860386,0.0,15.25,6.074999839067459,6.2
tt16358282,2.9666666189829507,1505.6666666666667,3.0,1.1239809097035531,0.0,6.0,3.4499999284744263,2.7
tt30244989,5.25804023959485,3231.6079931972786,25.571428571428573,0.9139102604503263,0.0,19.428571428571427,5.104294895929294,4.8
tt13648228,6.037888394489136,52322.99093047476,11.857142857142858,0.8167932432269945,0.0,13.285714285714286,6.123775522833237,5.4
tt29451310,5.078984778037925,749.4556659928122,18.714285714285715,1.2387591575674117,0.0,30.142857142857142,4.825238037109375,3.3
tt10770904,6.733186810444563,240.96117216117213,9.0,1.4400571029215892,1.5714285714285714,17.714285714285715,7.083809517678759,7.3
tt28434918,5.444318289106542,72.89772727272728,8.5,1.1150319048299835,0.5,14.0,5.395833492279053,5.3
tt26660677,5.976648176524407,568.4552576216136,29.75,1.0116983841959146,0.5,14.75,6.184375035266081,7.8
tt14035108,6.32192219696586,2905.930185040523,20.0,0.6002838111933632,0.16666666666666666,17.5,6.3736110885938,6.2
tt13611532,5.638972177373039,118.4275,9.666666666666666,0.837905861305769,0.0,13.666666666666666,5.034166610240937,5.1
tt32352172,5.844562743616564,24528.653456313357,32.42857142857143,0.9415600240090465,0.5714285714285714,35.142857142857146,5.838605414442465,5.1
tt10467054,6.172548142799827,1452.8694741661845,44.333333333333336,0.6743067854600268,0.0,23.333333333333332,6.257982290853657,6.6
tt28329159,6.316666690130082,4305.555555555555,8.0,1.6857911419275304,1.6666666666666667,2.3333333333333335,6.316666690130082,4.1
tt32898016,5.3609592401319075,4753.738492063491,9.833333333333334,0.7823417945539131,0.0,13.5,5.480555554231008,5.6
tt14839424,6.2085713999611984,15564.647619047619,7.0,0.6842649569382185,0.2,8.4,6.092857058842976,5.7
tt9010322,4.954761921886415,3597.6079365079368,8.833333333333334,1.35276988353458,0.8333333333333334,15.666666666666666,5.092619080770583,4.4
tt13702138,6.064080034901264,278.509570910126,35.666666666666664,1.2077871299658087,1.3333333333333333,22.666666666666668,5.095000020662943,3.6
tt13630518,6.152991530222771,2368.9636752136753,20.666666666666668,0.7046164815687188,0.3333333333333333,10.0,6.2750000556310015,6.3
tt15378102,6.082965991200372,3556.5655672105668,39.2,1.1917229239307128,2.2,20.4,6.538444432606772,6.6
tt30853122,6.92955745304775,552.7453828728363,66.0,1.0355106299413814,6.285714285714286,30.0,7.100164482210347,7.3
tt30970235,6.497389740275641,8798.551917953384,44.5,1.3261226087209883,4.333333333333333,22.833333333333332,6.820489438627132,7.8
tt7475578,6.403019847063429,29358.948975232535,25.666666666666668,0.9030534279564452,1.3333333333333333,24.5,6.159259312682682,6.8
tt3576752,6.390000073115031,428.2,4.2,0.8814754302918658,0.2,8.0,6.780000066757202,6.9
tt15816392,5.625330281676994,1439.2719569614926,131.57142857142858,1.4030222875739835,10.0,25.857142857142858,5.5970989108514955,4.4
tt27868137,5.831227357280732,2826.6127953279215,33.142857142857146,0.880565020185518,0.14285714285714285,29.571428571428573,5.806547573350725,6.7
tt16235342,4.329289250335135,1246.3889588336212,48.666666666666664,1.333214016895077,0.5,23.5,4.2780652459401685,4.3
tt15496702,6.541666698455811,1521.822222222222,9.666666666666666,0.798798483011362,0.3333333333333333,24.333333333333332,5.9000001483493385,5.8
