tconst,main_cast_avg_movie_rating,main_cast_avg_votes_per_movie,main_cast_avg_total_movies,main_cast_avg_rating_std_dev,main_cast_avg_high_rated_movie_count,main_cast_avg_career_span,main_cast_avg_recent_avg_rating,supporting_cast_avg_movie_rating,supporting_cast_avg_votes_per_movie,supporting_cast_avg_total_movies,supporting_cast_avg_rating_std_dev,supporting_cast_avg_high_rated_movie_count,supporting_cast_avg_career_span,supporting_cast_avg_recent_avg_rating,movie_rating
tt30448138,6.080357154565198,1403.357142857143,56.0,1.4097406652603508,1.0,25.5,7.190000057220459,7.129166603088379,1701.625,5.666666666666667,0.7471756863544997,1.0,6.333333333333333,6.983333269755046,7.4
tt31434122,6.506666697396173,264.3888888888889,9.333333333333334,1.024243866957141,0.6666666666666666,11.333333333333334,6.143809563773019,6.185194786983136,299.74242424242425,8.75,1.1854580986878518,0.25,16.5,6.061249959468841,5.5
tt32189846,5.648484862211979,2879.484848484848,13.333333333333334,1.1336221873965209,1.0,11.666666666666666,5.77444445821974,6.0398537994281005,2047.3888069033867,35.42857142857143,1.1987331151649296,1.4285714285714286,19.857142857142858,5.957295513851738,5.9
tt32201950,5.349999944368998,112.83333333333331,3.0,1.1702269166066839,0.0,7.0,6.049999872843424,6.124999894036187,771.9166666666666,5.0,0.9750325178484971,0.3333333333333333,11.333333333333334,6.033333195580377,6.2
tt32768323,6.397142814454578,111342.97142857143,30.0,0.7654735062528903,0.0,13.666666666666666,6.508333267988982,6.164583327041733,12387.813888888888,9.166666666666666,1.238337236877406,1.1666666666666667,15.333333333333334,6.3999999284744264,6.7
tt33507614,5.749603193903726,183.734126984127,11.333333333333334,1.0345823786216661,0.0,10.666666666666666,5.64444445239173,5.272812447200219,460.4322916666667,8.0,1.3728436891389126,0.25,11.75,6.003571391105652,5.0
tt33510862,7.191666781902313,115.75000000000001,5.5,1.7991168628616077,1.0,9.5,7.754166801770528,8.533333619435629,48.0,4.0,1.436430924421281,2.0,20.0,8.250000238418579,9.6
tt33540966,4.716666618982951,509.27777777777777,3.6666666666666665,1.3702806318075493,0.3333333333333333,7.333333333333333,4.716666618982951,5.048501474596125,573.7678987678987,17.0,1.3189043584134674,0.8571428571428571,9.285714285714286,4.785714270103545,3.8
tt34725964,5.147727256471461,94.63636363636364,22.5,1.2506758382515786,0.5,35.5,5.244999980926514,5.466666539510091,178.33333333333334,4.0,0.8736893892890717,0.0,1.0,5.466666539510091,4.5
tt34750678,5.8057218044534915,1110.4155486756106,36.666666666666664,0.7939891597273793,0.3333333333333333,24.333333333333332,5.853030247319026,5.876666641235351,685.6333333333334,6.6,0.34280807488239795,0.0,15.2,5.840000033378601,5.9
tt3792886,6.303393615812438,1148.2123700054735,36.666666666666664,1.0879291422057955,2.0,18.666666666666668,6.8750001192092896,6.420369632618369,3926.6747858913673,20.2,1.223664700204497,1.4,19.0,6.496468316751813,7.3
tt4269310,5.308513829792586,7001.083358171881,41.0,1.5810371503746783,1.3333333333333333,25.666666666666668,5.091335983503432,4.805718778330453,6431.260987299304,31.0,1.7434425741162425,0.2,22.4,4.075555573569404,3.5
tt4459134,5.633454062224587,8451.194444444445,28.5,1.2326523680783785,1.0,17.5,6.038888848017132,5.31065984287692,10422.130885278515,14.5,1.2208210555186392,0.5,23.25,4.992857249010177,5.3
tt4973806,5.671428635006859,1278.952380952381,5.0,0.9971754865465233,0.0,14.5,5.300000111262003,6.300000041723251,16088.75,5.5,1.1793620009511934,0.25,17.5,5.641666789849599,5.3
tt6434368,6.266666730244955,141.08333333333334,4.0,1.0342642475749042,0.0,13.5,5.300000190734863,5.6551191068830935,365.4095238095238,6.0,1.4200105979823578,0.2,28.2,5.580000162124634,5.3
tt6436620,5.726922987363277,43967.958333333336,13.0,0.8714261939681363,0.0,13.666666666666666,5.989523696899414,5.743105110549737,47081.748511904756,9.0,1.0140585012812917,0.0,10.0,5.899999916553497,5.2
tt6443346,6.3527562431381455,157375.05081826015,37.333333333333336,0.7602463040920311,0.6666666666666666,23.333333333333332,6.434391498565674,5.97062795366645,89904.91678447508,23.307692307692307,0.7784794549469896,0.3076923076923077,16.076923076923077,6.122931046867082,6.2
